epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,702.179,0.70716,0.55767,1.05284,0.951,0.96823,0.97706,0.87086,0.53449,0.43023,0.98396,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977
33,723.015,0.69346,0.54998,1.04898,0.96215,0.96894,0.97377,0.86289,0.52708,0.41146,0.98395,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
34,743.82,0.68823,0.53788,1.04933,0.96367,0.9773,0.9776,0.88258,0.48089,0.35439,0.92522,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
35,764.763,0.68305,0.53086,1.03542,0.96463,0.97019,0.97034,0.86316,0.48548,0.37449,0.94787,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
36,785.51,0.68084,0.53343,1.04226,0.95554,0.98303,0.97267,0.8663,0.50811,0.40439,0.95475,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
37,806.286,0.66553,0.5212,1.03332,0.95362,0.96661,0.97356,0.86635,0.51871,0.45207,0.99174,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
38,827.214,0.67468,0.52973,1.03998,0.96804,0.98094,0.97904,0.87929,0.49168,0.35914,0.94056,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779
39,848.107,0.66942,0.51489,1.02943,0.96745,0.9784,0.97489,0.88426,0.4607,0.34895,0.90798,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
40,869.014,0.66698,0.51341,1.0295,0.95746,0.97459,0.97971,0.87271,0.54668,0.41044,1.00478,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
41,889.82,0.6648,0.50506,1.03052,0.96853,0.97332,0.97794,0.89335,0.45163,0.34102,0.91074,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
42,910.744,0.66519,0.51111,1.02378,0.97327,0.97459,0.97681,0.88262,0.45859,0.34884,0.91885,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647
43,931.718,0.66765,0.51196,1.03231,0.9625,0.97828,0.98508,0.88826,0.475,0.35167,0.93305,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
44,952.523,0.66177,0.50736,1.0264,0.9529,0.97678,0.97645,0.88244,0.53997,0.39188,1.00477,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581
45,973.511,0.65963,0.50708,1.027,0.97339,0.97967,0.97382,0.86744,0.51146,0.42099,0.95016,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
46,994.351,0.65647,0.50999,1.02353,0.97345,0.97818,0.97674,0.88337,0.46558,0.33572,0.92093,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
47,1015.17,0.64458,0.51023,1.02181,0.97611,0.97586,0.98708,0.8919,0.44132,0.32139,0.90695,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
48,1035.85,0.65179,0.49804,1.0198,0.96236,0.97459,0.97985,0.89396,0.43315,0.33252,0.89279,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449
49,1056.8,0.65178,0.49592,1.01889,0.97104,0.98007,0.97684,0.89477,0.4475,0.32106,0.9015,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
50,1077.72,0.64321,0.48803,1.02629,0.96448,0.97332,0.9777,0.87759,0.52206,0.3858,0.99469,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383
51,1098.74,0.64235,0.49301,1.01741,0.97381,0.97459,0.97566,0.89184,0.45429,0.34474,0.92448,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
52,1119.51,0.63162,0.48304,1.01379,0.96715,0.97713,0.97615,0.89286,0.4418,0.32445,0.90084,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
53,1140.31,0.63474,0.48181,1.01625,0.96848,0.97599,0.97796,0.8999,0.43684,0.32162,0.89684,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
54,1161.02,0.64611,0.4883,1.01528,0.97695,0.97459,0.97704,0.88857,0.45506,0.32538,0.92039,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251
